Cell Methods,Mask,label,title,Regex,Variables,UID
area: mean where land time: mean,,amnla-tmn,Time Mean over Land,1,"3hr.mrro,3hr.mrros,3hr.mrso10,day.mrro,day.mrso,day.mrsos,day.snw,Eday.clt,Eday.dcw,Eday.dgw,Eday.drivw,Eday.dslw,Eday.dsn,Eday.dsw,Eday.esn,Eday.evspsbl,Eday.evspsblpot,Eday.hfdsn,Eday.hfdsnb,Eday.lai,Eday.lwsnl,Eday.mrrob,Eday.mrros,Eday.mrsfl,Eday.mrsll,Eday.mrso10,Eday.mrsol,Eday.mrsow,Eday.mrtws,Eday.pflw,Eday.prra,Eday.prrsn,Eday.prsnc,Eday.prsnsn,Eday.qgwr,Eday.rivi,Eday.rivo,Eday.rzwc,Eday.sbl,Eday.snd,Eday.snm,Eday.snmsl,Eday.snrefr,Eday.snwc,Eday.sw,Eday.tpf,Eday.tsl,Eday.tsns,Eday.wtd,Emon.albc,Emon.c13Land,Emon.c13Litter,Emon.c13Soil,Emon.c13Veg,Emon.c14Land,Emon.c14Litter,Emon.c14Soil,Emon.c14Veg,Emon.cLand,Emon.cLitterCwd,Emon.cLitterSubSurf,Emon.cLitterSurf,Emon.cnc,Emon.cOther,Emon.cSoil,Emon.cSoilAbove1m,Emon.cSoilLevels,Emon.cSoilPools,Emon.cStem,Emon.cWood,Emon.evspsblpot,Emon.fAnthDisturb,Emon.fBNF,Emon.fCLandToOcean,Emon.fDeforestToAtmos,Emon.fDeforestToProduct,Emon.fFireAll,Emon.fFireNat,Emon.fHarvestToAtmos,Emon.fHarvestToProduct,Emon.fLitterFire,Emon.fLuc,Emon.fN2O,Emon.fNAnthDisturb,Emon.fNdep,Emon.fNfert,Emon.fNgas,Emon.fNgasFire,Emon.fNgasNonFire,Emon.fNLandToOcean,Emon.fNleach,Emon.fNLitterSoil,Emon.fNloss,Emon.fNnetmin,Emon.fNOx,Emon.fNProduct,Emon.fNup,Emon.fNVegLitter,Emon.fNVegSoil,Emon.fProductDecomp,Emon.fVegFire,Emon.fVegLitterMortality,Emon.fVegLitterSenescence,Emon.fVegSoilMortality,Emon.fVegSoilSenescence,Emon.gppc13,Emon.gppc14,Emon.mrsfl,Emon.mrsll,Emon.mrsol,Emon.mrtws,Emon.nep,Emon.netAtmosLandC13Flux,Emon.netAtmosLandC14Flux,Emon.netAtmosLandCO2Flux,Emon.nLand,Emon.nLeaf,Emon.nLitter,Emon.nLitterCwd,Emon.nLitterSubSurf,Emon.nLitterSurf,Emon.nMineral,Emon.nMineralNH4,Emon.nMineralNO3,Emon.nOther,Emon.nppOther,Emon.nppStem,Emon.nProduct,Emon.nRoot,Emon.nSoil,Emon.nStem,Emon.nVeg,Emon.rac13,Emon.rac14,Emon.raLeaf,Emon.raOther,Emon.raRoot,Emon.raStem,Emon.rhc13,Emon.rhc14,Emon.rhLitter,Emon.rhSoil,Emon.wetlandCH4,Emon.wetlandCH4cons,Emon.wetlandCH4prod,LImon.hfdsn,LImon.lwsnl,LImon.pflw,LImon.sbl,LImon.snd,LImon.snm,LImon.snw,LImon.sootsn,LImon.tpf,Lmon.cLeaf,Lmon.cLitter,Lmon.cProduct,Lmon.cRoot,Lmon.cVeg,Lmon.evspsblsoi,Lmon.evspsblveg,Lmon.fFire,Lmon.fLitterSoil,Lmon.fVegLitter,Lmon.fVegSoil,Lmon.gpp,Lmon.lai,Lmon.mrfso,Lmon.mrro,Lmon.mrros,Lmon.mrso,Lmon.mrsos,Lmon.nbp,Lmon.npp,Lmon.nppLeaf,Lmon.nppRoot,Lmon.prveg,Lmon.ra,Lmon.rh,Lmon.tran,Lmon.tsl",a269a4c7-8c9b-11ef-944e-41a8eb05f654
area: mean where land time: mean (weighted by snow mass on land),,amnla-tmnsn,Snow Mass Weighted,1,"Eday.tsn,LImon.agesno,LImon.tsn",a269a4c8-8c9b-11ef-944e-41a8eb05f654
area: mean where land time: point,,amnla-tpt,Instantaneous Mean over Land,1,3hr.mrsos,a269a4c9-8c9b-11ef-944e-41a8eb05f654
area: mean where sea,,amns-fx,Fixed Area Mean over Sea,1,"Ofx.deptho,Ofx.hfgeou,Ofx.thkcello,Omon.absscint,Omon.chcint,Omon.pfscint,Omon.phcint,Omon.scint",a269a4ca-8c9b-11ef-944e-41a8eb05f654
area: mean where sea depth: sum where sea (top 100m only) time: mean,,amnds-tmn,"Sum over Upper 100m, Time Mean",1,,a269a4cb-8c9b-11ef-944e-41a8eb05f654
area: mean where sea depth: sum where sea time: mean,,amndss-tmn,"Sum over Depth, Time Mean",1,"Oday.hfxint,Oday.hfyint,Oday.intpoc,Oday.intpp,Omon.hfacrossline,Omon.hfxint,Omon.hfyint,Omon.intdic,Omon.intdoc,Omon.intparag,Omon.intpbfe,Omon.intpbn,Omon.intpbp,Omon.intpbsi,Omon.intpcalcite,Omon.intpn2,Omon.intpoc,Omon.intpp,Omon.intppcalc,Omon.intppdiat,Omon.intppdiaz,Omon.intppmisc,Omon.intppnano,Omon.intppnitrate,Omon.intpppico,Omon.sfacrossline,Omon.sfxint,Omon.sfyint",a269a4cc-8c9b-11ef-944e-41a8eb05f654
area: mean where sea time: maximum,,amns-tmax,Time Maximum over Sea,1,"6hr.swhmax,Omon.swhmax",a269a4cg-8c9b-11ef-944e-41a8eb05f654
area: mean where sea time: mean,,amns-tmn,Time Mean over Sea,1,"3hr.ficeberg,3hr.flandice,3hr.friver,3hr.hfds,3hr.hfrunoffds,3hr.mpw,3hr.rsntds,3hr.sfdsi,3hr.swh,3hr.tauuo,3hr.tauvo,3hr.wdir,3hr.wfo,3hr.wpdir,3hr.wpp,3hrPt.mpw,3hrPt.swh,3hrPt.wdir,3hrPt.wpdir,3hrPt.wpp,6hr.mpw,6hr.mpwswell,6hr.mpwwindsea,6hr.sduo,6hr.sdvo,6hr.swh,6hr.swhswell,6hr.swhwindsea,6hr.wdir,6hr.wdirswell,6hr.wdirwindsea,6hr.wpdir,6hr.wpdirswell,6hr.wpdirwindsea,6hr.wpp,6hr.wppswell,6hr.wppwindsea,Eday.mlotst,Eday.parasolRefl,Eday.t20d,Emon.dissi14c,Emon.expcalc,Emon.fg14co2,Emon.flandice,Emon.osaltpsmadvect,Emon.parasolRefl,Emon.sw2H,Emon.sw17O,Emon.t17d,Emon.t20d,Eyr.zfullo,Oday.chlos,Oday.co3os,Oday.co3sataragos,Oday.detoc,Oday.dissoc,Oday.expcob,Oday.mlotst,Oday.o2min,Oday.o2os,Oday.phos,Oday.phycalc,Oday.phycdiat,Oday.phycdiaz,Oday.phycmisc,Oday.phycnano,Oday.phycos,Oday.phycpico,Oday.rsdo,Oday.so,Oday.sos,Oday.tos,Oday.tossq,Oday.uos,Oday.vos,Oday.wo,Oday.zmeso,Oday.zmicro,Oday.zooc,Oday.zos,Oday.zostoga,Odec.bigthetao,Odec.masscello,Odec.opottemptend,Odec.so,Odec.tauuo,Odec.tauvo,Odec.thetao,Odec.thkcello,Omon.agessc,Omon.arag,Omon.aragos,Omon.baccos,Omon.bigthetao,Omon.bigthetaoga,Omon.calc,Omon.calcos,Omon.chl,Omon.chlcalc,Omon.chlcalcos,Omon.chldiat,Omon.chldiatos,Omon.chldiaz,Omon.chldiazos,Omon.chlmisc,Omon.chlmiscos,Omon.chlos,Omon.chlpico,Omon.chlpicoos,Omon.detoc,Omon.dfe,Omon.dfeos,Omon.dissi13c,Omon.dissi13cos,Omon.dissi14cabio,Omon.dissi14cabioos,Omon.dissic,Omon.dissicos,Omon.dissoc,Omon.dmso,Omon.dmsos,Omon.dpco2,Omon.dpo2,Omon.epc100,Omon.epc1000,Omon.epcalc100,Omon.epcalc1000,Omon.epn100,Omon.epp100,Omon.epsi100,Omon.exparagob,Omon.expc,Omon.expcalcob,Omon.expcob,Omon.expfeob,Omon.expnob,Omon.exppob,Omon.expsiob,Omon.fg13co2,Omon.fg14co2abio,Omon.fgco2,Omon.fgdms,Omon.ficeberg,Omon.ficeberg2d,Omon.frfe,Omon.fric,Omon.friver,Omon.frn,Omon.froc,Omon.fsfe,Omon.fsitherm,Omon.fsn,Omon.graz,Omon.hfds,Omon.hfgeou,Omon.hfibthermds,Omon.hfibthermds2d,Omon.hfrunoffds,Omon.hfrunoffds2d,Omon.hfsnthermds,Omon.hfsnthermds2d,Omon.hfx,Omon.hfy,Omon.icfriver,Omon.limfecalc,Omon.limfediat,Omon.limfediaz,Omon.limfemisc,Omon.limfepico,Omon.limirrcalc,Omon.limirrdiat,Omon.limirrdiaz,Omon.limirrmisc,Omon.limirrpico,Omon.limncalc,Omon.limndiat,Omon.limndiaz,Omon.limnmisc,Omon.limnpico,Omon.masscello,Omon.mlotst,Omon.mlotstsq,Omon.mpw,Omon.mpwswell,Omon.mpwwindsea,Omon.msftbarot,Omon.nh4,Omon.nh4os,Omon.no3,Omon.no3os,Omon.o2,Omon.o2os,Omon.o2sat,Omon.obvfsq,Omon.ocfriver,Omon.pbo,Omon.ph,Omon.phos,Omon.phyc,Omon.phycalc,Omon.phycalcos,Omon.phycos,Omon.phydiat,Omon.phydiatos,Omon.phydiaz,Omon.phydiazos,Omon.phymisc,Omon.phymiscos,Omon.phypico,Omon.phypicoos,Omon.po4,Omon.pp,Omon.ppos,Omon.pso,Omon.sduo,Omon.sdvo,Omon.sf6,Omon.sfdsi,Omon.sfriver,Omon.sfx,Omon.sfy,Omon.si,Omon.sios,Omon.so,Omon.sob,Omon.soga,Omon.sos,Omon.sosga,Omon.sossq,Omon.spco2,Omon.swh,Omon.swhswell,Omon.swhwindsea,Omon.talk,Omon.tauuo,Omon.tauvo,Omon.thetao,Omon.thetaoga,Omon.thkcello,Omon.thkcelluo,Omon.thkcellvo,Omon.tob,Omon.tos,Omon.tosga,Omon.tossq,Omon.umo,Omon.uo,Omon.vmo,Omon.vo,Omon.vsf,Omon.vsfcorr,Omon.vsfevap,Omon.vsfpr,Omon.vsfriver,Omon.vsfsit,Omon.wdir,Omon.wdirswell,Omon.wdirwindsea,Omon.wfcorr,Omon.wfo,Omon.wo,Omon.wpdir,Omon.wpdirswell,Omon.wpdirwindsea,Omon.wpp,Omon.wppswell,Omon.wppwindsea,Omon.zmeso,Omon.zmesoos,Omon.zmicro,Omon.zmicroos,Omon.zmisc,Omon.zmiscos,Omon.zooc,Omon.zoocos,Omon.zos,Omon.zossq,Omon.zostoga,Oyr.difmxybo,Oyr.difmxylo,Oyr.diftrblo,Oyr.diftrelo,Oyr.difvho,Oyr.difvso,Oyr.dispkexyfo,Oyr.ocontempdiff,Oyr.ocontempmint,Oyr.ocontemppadvect,Oyr.ocontemppmdiff,Oyr.ocontemppsmadvect,Oyr.ocontemprmadvect,Oyr.ocontemptend,Oyr.opottempdiff,Oyr.opottempmint,Oyr.opottemppadvect,Oyr.opottemppmdiff,Oyr.opottemppsmadvect,Oyr.opottemprmadvect,Oyr.opottemptend,Oyr.osaltdiff,Oyr.osaltpadvect,Oyr.osaltpmdiff,Oyr.osaltpsmadvect,Oyr.osaltrmadvect,Oyr.osalttend,Oyr.rsdoabsorb,Oyr.somint,Oyr.tnkebto,Oyr.tnpeo,SIday.sihc,SIday.sitimefrac,SImon.sidconcdyn,SImon.sidconcth,SImon.sidmassdyn,SImon.sidmassevapsubl,SImon.sidmassgrowthbot,SImon.sidmassgrowthsi,SImon.sidmassgrowthwat,SImon.sidmassmeltbot,SImon.sidmassmeltlat,SImon.sidmassmelttop,SImon.sidmassth,SImon.sihc,SImon.simass,SImon.sisaltmass,SImon.sitimefrac,SImon.sivol",a269a4cd-8c9b-11ef-944e-41a8eb05f654
area: mean where sea time: mean within years time: mean over years,,amn-clim,Annual Ocean Climatology,1,,a269a4b5-8c9b-11ef-944e-41a8eb05f654
area: mean where sea time: point,,amns-tpt,Instantaneous over Sea,1,3hr.tos,a269a4ce-8c9b-11ef-944e-41a8eb05f654
